                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94049,                 0.8616,                 1.2322,                0.84989,                0.90909,                0.90713,                0.58706,                 1.2338,                 1.8628,                  1.859,              0.0013268,              0.0013268,              0.0013268
                     36,                0.88339,                0.89678,                  1.245,                0.86156,                 0.8491,                0.89538,                 0.6307,                 1.0982,                  1.634,                 1.5814,               0.001307,               0.001307,               0.001307
                     37,                0.83123,                0.84021,                 1.1545,                0.78534,                0.83189,                0.87402,                 0.6191,                 1.0513,                 1.5658,                 1.3983,              0.0012872,              0.0012872,              0.0012872
                     38,                0.81907,                0.83594,                 1.1116,                 0.8395,                0.86364,                0.91551,                 0.6278,                 1.0907,                 1.4313,                 1.4085,              0.0012674,              0.0012674,              0.0012674
                     39,                0.87582,                0.85437,                 1.1725,                0.86808,                0.95455,                0.96632,                0.67043,                 1.1158,                 1.3882,                 1.4838,              0.0012476,              0.0012476,              0.0012476
                     40,                0.93583,                0.89369,                 1.3091,                0.91585,                0.98971,                0.98758,                0.61673,                 1.3092,                 1.3555,                 1.6422,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.9132,                0.82543,                 1.2075,                0.95862,                0.90909,                0.98585,                0.63418,                 1.2947,                 1.2706,                 1.5967,               0.001208,               0.001208,               0.001208
                     42,                0.93082,                0.90804,                 1.1956,                0.95413,                0.94572,                0.97797,                0.64471,                 1.1438,                 1.2027,                 1.5105,              0.0011882,              0.0011882,              0.0011882
                     43,                0.84611,                0.77395,                 1.1593,                0.98388,                0.86364,                0.97312,                0.66477,                 1.0742,                 1.1553,                 1.4982,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.7545,                0.73271,                 1.1032,                0.84438,                0.86364,                0.93717,                0.64467,                 1.0205,                  1.143,                 1.4816,              0.0011486,              0.0011486,              0.0011486
